# The aquarium trade list.  See auctions/aquarium_species.py for the format and the rules.
#
# Everything here is something a club auction actually sells and that FishBase does not cover:
# plants, freshwater invertebrates, live-food cultures, and the cultivars ("strains") of fish
# FishBase does list.  A variety row names its parent in scientific_name and puts the strain in
# variety; the loader links the two, and the parent has to already exist.
#
# A HYBRID row is the one row with no scientific name at all: leave the first column empty, put
# the name the trade uses in variety, and the loader sets Species.is_hybrid.  It reads as
# "Hybrid 'Tibee'" everywhere a name is shown, which is the point -- a BAP class that excludes
# crosses can only do that if the label says which lots are crosses.  No parentage is recorded:
# a cross has no binomial and filing it under one parent would put a wrong genus in a genus BAP
# rule.  family and order may be filled in when both parents share one (every tibee is an atyid,
# every flowerhorn a cichlid); that is what gives the row a category, and nothing else reads it.
#
# There is a third kind of row, at the bottom of the file: a NAMES-ONLY row, for a species
# FishBase already has under a name nobody in the hobby uses.  FishBase files Labidochromis
# caeruleus under "Blue streak hap", so "yellow lab" matched nothing at all.  Write the scientific
# name and the common names, leave family/order/kind/habitat blank, and the loader attaches the
# names to the existing species without creating a second copy of it or touching its taxonomy.
#
# Rules for adding a row:
#   * scientific_name is the currently accepted binomial.  A genus on its own is allowed when the
#     trade genuinely sells at that rank (Bucephalandra, Tylomelania) -- leave the epithet off.
#   * common_names is what people type into a lot name, pipe-separated, lower case.  Include the
#     abbreviations (rcs, mts, bbs): that is what actually gets typed.
#   * Don't add a row to make a search work if the identification is contested.  A wrong species
#     is printed on a label and counted for breeder points; no match is the better answer.
#     "Bristlenose" is the example to keep in mind: everyone sells one, nobody agrees which
#     Ancistrus it is, and so it is deliberately not in this file.
#
scientific_name,variety,common_names,family,order,kind,habitat
# --------------------------------------------- plants: cultivars the trade names (Tropica) ---
# Tropica's catalogue is where a plant cultivar's name is settled -- "Rosanervig", "Monte Carlo",
# "H'ra" are theirs -- and Florida Aquatic Nurseries is where the American common names are.  Both
# lists were read for these rows; where the two disagreed about a species, neither was invented
# past what they say.  A cultivar nobody outside one nursery's catalogue asks for is left out: the
# test is whether somebody would write it on a bag.
Alternanthera reineckii,Pink,ar pink|pink alternanthera|telanthera,Amaranthaceae,Caryophyllales,plant,fresh
Anubias barteri,Caladiifolia,anubias caladiifolia|caladiifolia,Araceae,Alismatales,plant,fresh
Anubias barteri,Glabra,anubias glabra,Araceae,Alismatales,plant,fresh
Anubias barteri,Coin Leaf,anubias coin leaf|coin leaf anubias,Araceae,Alismatales,plant,fresh
Anubias barteri,Nana Pinto,pinto anubias|anubias pinto|anubias nana pinto,Araceae,Alismatales,plant,fresh
Anubias barteri,Nana Golden,golden anubias|anubias nana golden,Araceae,Alismatales,plant,fresh
Anubias barteri,Angustifolia,anubias angustifolia|anubias lanceolata|narrow leaf anubias,Araceae,Alismatales,plant,fresh
Anubias barteri,Frazeri,anubias frazeri|frazeri,Araceae,Alismatales,plant,fresh
Anubias barteri,Nangi,anubias nangi|nangi,Araceae,Alismatales,plant,fresh
Aponogeton longiplumulosus,,aponogeton longiplumulosus,Aponogetonaceae,Alismatales,plant,fresh
Bacopa australis,,bacopa australis|dwarf bacopa,Plantaginaceae,Lamiales,plant,fresh
Bacopa salzmannii,,bacopa salzmannii|purple bacopa,Plantaginaceae,Lamiales,plant,fresh
Bucephalandra,Kedagang,kedagang|buce kedagang|bucephalandra kedagang,Araceae,Alismatales,plant,fresh
Bucephalandra,Wavy Green,wavy green|green wavy|buce wavy green,Araceae,Alismatales,plant,fresh
Bucephalandra,Brownie Blue,brownie blue|buce brownie blue,Araceae,Alismatales,plant,fresh
Bucephalandra,Needle Leaf,needle leaf buce|bucephalandra needle leaf,Araceae,Alismatales,plant,fresh
Cabomba aquatica,,cabomba aquatica|yellow cabomba,Cabombaceae,Nymphaeales,plant,fresh
Crinum thaianum,,water onion|crinum thaianum,Amaryllidaceae,Asparagales,plant,fresh
Cryptocoryne beckettii,Petchii,crypt petchii|cryptocoryne petchii|petchii,Araceae,Alismatales,plant,fresh
Cryptocoryne wendtii,Mi Oya,mi oya|crypt mi oya|cryptocoryne mi oya,Araceae,Alismatales,plant,fresh
Cryptocoryne spiralis,Red,red spiralis|crypt spiralis red,Araceae,Alismatales,plant,fresh
Cryptocoryne undulata,Broad Leaf,broad leaf undulata|crypt undulata broad leaf,Araceae,Alismatales,plant,fresh
Cryptocoryne willisii,,crypt willisii|cryptocoryne willisii|willisii,Araceae,Alismatales,plant,fresh
Cryptocoryne nurii,,crypt nurii|cryptocoryne nurii,Araceae,Alismatales,plant,fresh
Cryptocoryne retrospiralis,,crypt retrospiralis|cryptocoryne retrospiralis,Araceae,Alismatales,plant,fresh
Cryptocoryne moehlmannii,,crypt moehlmannii|cryptocoryne moehlmannii,Araceae,Alismatales,plant,fresh
Cryptocoryne ciliata,,crypt ciliata|cryptocoryne ciliata,Araceae,Alismatales,plant,fresh
Echinodorus,,echinodorus,Alismataceae,Alismatales,plant,fresh
Echinodorus,Ozelot,ozelot sword|ozelot|echinodorus ozelot,Alismataceae,Alismatales,plant,fresh
Echinodorus,Ozelot Green,green ozelot sword|ozelot green,Alismataceae,Alismatales,plant,fresh
Echinodorus,Red Diamond,red diamond sword|red diamond echinodorus,Alismataceae,Alismatales,plant,fresh
Echinodorus,Rubin,rubin sword|echinodorus rubin,Alismataceae,Alismatales,plant,fresh
Echinodorus,Red Flame,red flame sword|echinodorus red flame,Alismataceae,Alismatales,plant,fresh
Echinodorus,Oriental,oriental sword|echinodorus oriental,Alismataceae,Alismatales,plant,fresh
Echinodorus,Barthii,red melon sword|echinodorus barthii|barthii,Alismataceae,Alismatales,plant,fresh
Echinodorus,Reni,reni sword|echinodorus reni,Alismataceae,Alismatales,plant,fresh
Echinodorus,Rose,rose sword|echinodorus rose,Alismataceae,Alismatales,plant,fresh
Echinodorus osiris,,melon sword|echinodorus osiris,Alismataceae,Alismatales,plant,fresh
Echinodorus martii,,ruffled sword|echinodorus martii|echinodorus major,Alismataceae,Alismatales,plant,fresh
Eleocharis montevidensis,,giant hairgrass|eleocharis montevidensis,Cyperaceae,Poales,plant,fresh
Eleocharis pusilla,,eleocharis pusilla|mini hairgrass,Cyperaceae,Poales,plant,fresh
Eriocaulon cinereum,,eriocaulon cinereum|eriocaulon,Eriocaulaceae,Poales,plant,fresh
Glossostigma elatinoides,,glosso|glossostigma elatinoides|glossostigma,Phrymaceae,Lamiales,plant,fresh
Gratiola viscidula,,gratiola viscidula|hedge hyssop,Plantaginaceae,Lamiales,plant,fresh
Helanthium bolivianum,Vesuvius,vesuvius sword|helanthium vesuvius|echinodorus vesuvius,Alismataceae,Alismatales,plant,fresh
Hottonia palustris,,water violet|hottonia palustris,Primulaceae,Ericales,plant,fresh
Hydrocotyle verticillata,,whorled pennywort|hydrocotyle verticillata,Araliaceae,Apiales,plant,fresh
Hygrophila corymbosa,Compact,hygrophila compact|compact hygro,Acanthaceae,Lamiales,plant,fresh
Hygrophila corymbosa,Siamensis,narrow leaf temple plant|hygrophila siamensis|siamensis 53b,Acanthaceae,Lamiales,plant,fresh
Hygrophila corymbosa,Stricta,hygrophila stricta|stricta,Acanthaceae,Lamiales,plant,fresh
Hygrophila lancea,,hygrophila lancea,Acanthaceae,Lamiales,plant,fresh
Hygrophila lancea,Araguaia,hygrophila araguaia|araguaia,Acanthaceae,Lamiales,plant,fresh
Hygrophila polysperma,Rosanervig,sunset hygro|hygrophila rosanervig|rosanervig hygro,Acanthaceae,Lamiales,plant,fresh
Hygrophila costata,,hygrophila costata|willow hygrophila,Acanthaceae,Lamiales,plant,fresh
Juncus repens,,lesser creeping rush|juncus repens,Juncaceae,Poales,plant,fresh
Lagenandra meeboldii,,lagenandra meeboldii|lagenandra,Araceae,Alismatales,plant,fresh
Lagenandra meeboldii,Red,red lagenandra|lagenandra red,Araceae,Alismatales,plant,fresh
Limnophila aquatica,,giant ambulia|limnophila aquatica,Plantaginaceae,Lamiales,plant,fresh
Limnophila hippuridoides,,limnophila hippuridoides,Plantaginaceae,Lamiales,plant,fresh
Lindernia rotundifolia,,lindernia rotundifolia|lindernia,Linderniaceae,Lamiales,plant,fresh
Littorella uniflora,,littorella uniflora|shoreweed,Plantaginaceae,Lamiales,plant,fresh
Lobelia cardinalis,,lobelia cardinalis|cardinal plant|dwarf lobelia,Campanulaceae,Asterales,plant,fresh
Ludwigia palustris,Super Red,super red ludwigia|ludwigia super red,Onagraceae,Myrtales,plant,fresh
Ludwigia repens,Rubin,ludwigia rubin|rubin ludwigia,Onagraceae,Myrtales,plant,fresh
Lysimachia parvifolia,,lysimachia parvifolia|lysimachia,Primulaceae,Ericales,plant,fresh
Marsilea minuta,,marsilea minuta|dwarf water clover,Marsileaceae,Salviniales,plant,fresh
Mayaca fluviatilis,,mayaca fluviatilis|bog moss|stream bogmoss,Mayacaceae,Poales,plant,fresh
Micranthemum glomeratum,,micranthemum glomeratum|manatee grass|babys tears,Linderniaceae,Lamiales,plant,fresh
Murdannia keisak,,murdannia keisak|marsh dewflower,Commelinaceae,Commelinales,plant,fresh
Phyllanthus fluitans,,red root floater|phyllanthus fluitans|rrf,Phyllanthaceae,Malpighiales,plant,fresh
Pogostemon deccanensis,,pogostemon deccanensis|pogostemon deccan,Lamiaceae,Lamiales,plant,fresh
Pogostemon quadrifolius,,pogostemon quadrifolius|pogostemon octopus,Lamiaceae,Lamiales,plant,fresh
Proserpinaca palustris,,mermaid weed|proserpinaca palustris,Haloragaceae,Saxifragales,plant,fresh
Ranunculus inundatus,,ranunculus inundatus|ranunculus,Ranunculaceae,Ranunculales,plant,fresh
Rotala indica,Bonsai,rotala bonsai|bonsai rotala,Lythraceae,Myrtales,plant,fresh
Rotala rotundifolia,Blood Red,blood red rotala|rotala blood red,Lythraceae,Myrtales,plant,fresh
Rotala rotundifolia,H'ra,rotala hra|hra rotala|rotala h ra,Lythraceae,Myrtales,plant,fresh
Sagittaria subulata,Needle Leaf,needle leaf sagittaria|sagittaria needle leaf,Alismataceae,Alismatales,plant,fresh
Schismatoglottis prietoi,,schismatoglottis prietoi,Araceae,Alismatales,plant,fresh
Shinnersia rivularis,,mexican oak leaf|shinnersia rivularis,Asteraceae,Asterales,plant,fresh
Spirodela polyrrhiza,,giant duckweed|spirodela polyrrhiza,Araceae,Alismatales,plant,fresh
Vallisneria americana,Natans,vallisneria natans|natans val,Hydrocharitaceae,Alismatales,plant,fresh
Vallisneria spiralis,Tiger,tiger val|vallisneria tiger|tiger vallisneria,Hydrocharitaceae,Alismatales,plant,fresh
Vallisneria americana,Gigantea,giant val|vallisneria gigantea|giant vallisneria,Hydrocharitaceae,Alismatales,plant,fresh
#
# ----------------------------------------------------------- plants: the rest of the mosses ---
Leptodictyum riparium,,stringy moss|leptodictyum riparium,Amblystegiaceae,Hypnales,plant,fresh
Echinodorus grandiflorus,,rangeri sword|echinodorus grandiflorus,Alismataceae,Alismatales,plant,fresh
Echinodorus,Indian Red,indian red sword|echinodorus indian red,Alismataceae,Alismatales,plant,fresh
Echinodorus,St Elmos Fire,st elmos fire sword|echinodorus st elmos fire,Alismataceae,Alismatales,plant,fresh
Egeria najas,,narrow leaf anacharis|egeria najas,Hydrocharitaceae,Alismatales,plant,fresh
Isoetes lacustris,,octopus plant|isoetes lacustris|isoetes,Isoetaceae,Isoetales,plant,fresh
Lilaeopsis carolinensis,,giant micro sword|lilaeopsis carolinensis,Apiaceae,Apiales,plant,fresh
Lysimachia nummularia,,creeping jenny|lysimachia nummularia|golden creeping jenny,Primulaceae,Ericales,plant,fresh
Nymphaea lotus,Green,green tiger lotus|green lotus,Nymphaeaceae,Nymphaeales,plant,fresh
Potamogeton crispus,,curly pondweed|potamogeton crispus,Potamogetonaceae,Alismatales,plant,fresh
Sagittaria platyphylla,,broad leaf sag|sagittaria platyphylla|giant sagittaria,Alismataceae,Alismatales,plant,fresh
Vallisneria asiatica,,corkscrew val|vallisneria asiatica|contortion val,Hydrocharitaceae,Alismatales,plant,fresh
Riccardia chamedryfolia,,mini pellia|coral moss|riccardia chamedryfolia,Aneuraceae,Metzgeriales,plant,fresh
Solenostoma tetragonum,,pearl moss|solenostoma tetragonum,Solenostomataceae,Jungermanniales,plant,fresh
Taxiphyllum,Spiky,spiky moss,Hypnaceae,Hypnales,plant,fresh
Taxiphyllum alternans,,taiwan moss|taxiphyllum alternans,Hypnaceae,Hypnales,plant,fresh
Vesicularia ferriei,,weeping moss|vesicularia ferriei,Hypnaceae,Hypnales,plant,fresh
#
# ------------------------------------------------- shrimp: the strains a breeder sells them ---
# From The Garden of Eder's list, which is a shrimp breeder's stock list rather than a taxonomy:
# every row here is a Neocaridina davidi or a Caridina the trade agrees on.  The hybrid half of
# that list -- tibee, tangtai, mischling, ghost bee, "steel", stardust, calceo -- is further down,
# under hybrids: those are crosses *between* species (tiger x bee, and crosses of crosses), so
# there is no binomial to file them under and they carry no genus at all.
Neocaridina davidi,Blue Diamond,blue diamond shrimp|blue diamond neocaridina,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Black Diamond,black diamond shrimp|black diamond neocaridina,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Black Rose,black rose shrimp|black rose neocaridina,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Green Emerald,green emerald shrimp|emerald green shrimp,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Sakura Red,sakura shrimp|sakura red shrimp|red sakura shrimp,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,Yellow King Kong,yellow king kong|ykk shrimp|lemonhead shrimp,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,Pinto,pinto shrimp|red pinto shrimp|galaxy pinto,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,Snow White,snow white shrimp|golden bee shrimp,Atyidae,Decapoda,invert,fresh
Caridina mariae,Orange Eye Blue Tiger,oebt|orange eye blue tiger|blue tiger shrimp,Atyidae,Decapoda,invert,fresh
Caridina pareparensis,,malawa shrimp|malawa|sulawesi malawa,Atyidae,Decapoda,invert,fresh
Asellus aquaticus,,freshwater isopod|asellus|asellus aquaticus|water louse,Asellidae,Isopoda,invert,fresh
#
# ------------------------------------------------- hybrids: the crosses the trade sells by name ---
# No scientific name, on purpose: each of these is a cross between two species, and the whole
# reason the hobby has a word for it is that no binomial covers it.  The test for adding one is
# not "is the identification settled" -- there is nothing to identify -- but "does the hobby agree
# this is a cross": a fish sold as a line-bred species belongs above with a parent, not here.
# So the mbuna-blooded peacocks are here and "strawberry peacock" is not, dyed fish are nowhere,
# and the balloon and long-fin body shapes are cultivars of one species rather than crosses.
,Tibee,tibee|tibee shrimp|tibees,Atyidae,Decapoda,invert,fresh
,Tangtai,tangtai|tangtai shrimp|tangtai bee,Atyidae,Decapoda,invert,fresh
,Mischling,mischling|mischling shrimp|mischlings,Atyidae,Decapoda,invert,fresh
,Ghost Bee,ghost bee|ghost bee shrimp,Atyidae,Decapoda,invert,fresh
,Steel,steel shrimp|steel bee shrimp,Atyidae,Decapoda,invert,fresh
,Stardust,stardust shrimp|stardust,Atyidae,Decapoda,invert,fresh
,Calceo,calceo shrimp|calceo,Atyidae,Decapoda,invert,fresh
,Flowerhorn,flowerhorn|flower horn|flowerhorn cichlid|luohan,Cichlidae,Cichliformes,fish,fresh
,Blood Parrot,blood parrot|blood parrot cichlid|bloodparrot|blood red parrot,Cichlidae,Cichliformes,fish,fresh
,Red Texas,red texas cichlid|red texas,Cichlidae,Cichliformes,fish,fresh
,OB Peacock,ob peacock|ob peacocks|orange blotch peacock,Cichlidae,Cichliformes,fish,fresh
,Dragon Blood Peacock,dragon blood peacock|dragonblood peacock|dragons blood peacock,Cichlidae,Cichliformes,fish,fresh
#
# ------------------------------------ names only: what the hobby calls fish FishBase already has ---
# Rows below add common names to a species another list owns.  Leave family/order/kind/habitat
# blank -- the owning list is the authority on those and the loader ignores them here.  This is
# where the trade's own vocabulary lives: FishBase is an ichthyology database and has no reason to
# know "yellow lab", and before this file could reach its rows there was no way to teach it one.
Labidochromis caeruleus,,yellow lab|electric yellow|electric yellow lab|yellow labidochromis,,,,
Carinotetraodon travancoricus,,pea puffer|dwarf puffer|indian dwarf puffer|pygmy puffer,,,,
Poecilia wingei,,endler|endlers livebearer|endler livebearer,,,,
Mikrogeophagus altispinosus,,bolivian ram|bolivian butterfly|bolivian butterfly ram,,,,
Mikrogeophagus ramirezi,,german blue ram|gbr|blue ram|german ram,,,,
Pterophyllum scalare,,angel|silver angel|silver angelfish|freshwater angel,,,,
Betta splendens,,betta|betta fish|siamese fighter,,,,
Corydoras panda,,panda cory|panda cory catfish,,,,
Corydoras pygmaeus,,pygmy cory|pygmy cory catfish,,,,
Corydoras habrosus,,salt and pepper cory|habrosus cory,,,,
Pelvicachromis pulcher,,krib,,,,
Chindongo saulosi,,saulosi|red top saulosi,,,,
Chindongo demasoni,,demasoni|dems,,,,
Maylandia estherae,,red zebra cichlid|esther grants zebra,,,,
Tropheus duboisi,,duboisi|white spotted cichlid,,,,
Trichogaster lalius,,flame gourami,,,,
Danio margaritatus,,cpd|celestial pearl danio|galaxy danio,,,,
Boraras brigittae,,chili rasbora|mosquito rasbora,,,,
Paracheirodon innesi,,neon,,,,
Melanotaenia boesemani,,boesemani|boesemani rainbow,,,,
Tanichthys albonubes,,wcmm,,,,
Sewellia lineolata,,reticulated hillstream loach|sewellia,,,,
# Deliberately absent, same reason as bristlenose: "oto" is Otocinclus vittatus or O. macrospilus
# depending on who imported the box, and nobody can tell them apart in a bag.
#
# L-numbers are an identification, not a nickname: the fish is undescribed and the code is what
# the whole trade agrees to call it.  Only put one here when the species behind it is settled --
# L046 and L134 are, L144 and L200 are two fish each and stay out.  The same goes for the CW
# numbers on Corydoras: the mechanism works ("cw11" now survives the tokeniser), so add the row
# when somebody who knows which Corydoras it is fills it in.
Hypancistrus zebra,,l046|l46|imperial pleco,,,,
Peckoltia compta,,l134|leopard frog pleco,,,,
